"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"1500000US550250006003","Block Group 3, Census Tract 6, Dane County, Wisconsin","1400","542","467","336","52","60","28","44","21","37","29","44","0","9","58","77","8","16","115","125","0","9","0","9","0","9","19","32","45","72","48","70","23","41","21","35","933","286"
"1500000US550250007001","Block Group 1, Census Tract 7, Dane County, Wisconsin","769","165","195","92","22","24","13","20","6","9","13","19","12","14","0","9","25","23","6","11","12","13","6","11","23","27","18","28","5","9","6","10","14","22","14","16","574","114"
"1500000US550250007002","Block Group 2, Census Tract 7, Dane County, Wisconsin","1023","172","193","97","22","24","0","9","0","9","0","9","36","37","15","20","0","9","22","23","5","10","0","9","0","9","0","9","0","9","26","29","42","40","25","29","830","138"
"1500000US550250007003","Block Group 3, Census Tract 7, Dane County, Wisconsin","1189","161","299","97","28","40","0","9","0","9","30","30","12","14","22","31","34","28","20","22","21","19","0","9","13","14","27","29","6","10","12","19","34","38","40","43","890","117"
"1500000US550250008001","Block Group 1, Census Tract 8, Dane County, Wisconsin","1275","150","592","111","0","9","0","9","12","18","0","9","0","9","0","9","12","17","0","9","11","17","8","12","0","9","0","9","0","9","13","20","175","101","361","92","683","125"
"1500000US550250008002","Block Group 2, Census Tract 8, Dane County, Wisconsin","1285","170","318","111","31","28","9","14","22","21","19","20","0","9","20","23","36","28","17","19","17","20","15","18","17","19","43","28","8","13","25","18","23","17","16","14","967","113"
"1500000US550250008003","Block Group 3, Census Tract 8, Dane County, Wisconsin","1150","161","257","77","8","13","13","17","8","13","29","24","16","18","0","9","28","22","8","12","11","14","0","9","10","13","10","14","0","9","7","11","76","43","33","22","893","121"
"1500000US550250009011","Block Group 1, Census Tract 9.01, Dane County, Wisconsin","1133","99","357","62","53","28","21","16","22","15","9","10","5","9","16","14","11","11","12","13","12","12","32","21","13","14","19","16","35","21","41","23","48","32","8","12","776","66"
"1500000US550250009012","Block Group 2, Census Tract 9.01, Dane County, Wisconsin","1039","113","337","72","24","18","4","7","25","20","19","12","32","30","6","8","33","18","12","14","5","7","13","12","0","9","0","9","19","22","12","13","57","32","76","37","702","76"
"1500000US550250009021","Block Group 1, Census Tract 9.02, Dane County, Wisconsin","1286","371","1006","388","0","9","0","9","0","9","10","16","0","9","11","16","0","9","0","9","17","27","0","9","14","20","0","9","13","19","0","9","709","348","232","204","280","120"
"1500000US550250009022","Block Group 2, Census Tract 9.02, Dane County, Wisconsin","930","202","379","112","0","9","0","9","12","20","16","24","32","46","12","20","33","46","24","18","0","9","0","9","0","9","0","9","16","25","0","9","147","84","87","69","551","136"
"1500000US550250009023","Block Group 3, Census Tract 9.02, Dane County, Wisconsin","2235","430","1498","462","0","9","0","9","0","9","0","9","0","9","0","9","0","9","28","39","0","9","36","40","0","9","20","22","0","9","23","32","345","198","1046","439","737","177"
"1500000US550250009024","Block Group 4, Census Tract 9.02, Dane County, Wisconsin","1438","246","465","146","0","9","0","9","0","9","0","9","14","23","10","17","0","9","34","33","25","31","21","26","10","16","51","45","0","9","23","25","62","49","215","91","973","162"
"1500000US550250010001","Block Group 1, Census Tract 10, Dane County, Wisconsin","1524","208","762","210","6","9","16","17","7","10","3","5","15","11","31","22","28","19","11","11","14","14","16","11","13","14","17","11","17","19","11","15","524","196","33","23","762","75"
"1500000US550250010002","Block Group 2, Census Tract 10, Dane County, Wisconsin","996","107","244","60","22","22","10","14","9","13","0","9","15","16","0","9","20","17","0","9","3","6","12","12","10","12","10","11","4","8","18","13","86","39","25","19","752","72"
"1500000US550250011011","Block Group 1, Census Tract 11.01, Dane County, Wisconsin","2416","417","2083","372","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","13","17","1969","380","101","85","333","143"
"1500000US550250011012","Block Group 2, Census Tract 11.01, Dane County, Wisconsin","2674","397","2346","373","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","2136","362","210","105","328","150"
"1500000US550250011021","Block Group 1, Census Tract 11.02, Dane County, Wisconsin","933","207","909","219","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","909","219","0","9","24","30"
"1500000US550250011022","Block Group 2, Census Tract 11.02, Dane County, Wisconsin","2782","223","2782","223","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","2770","226","12","16","0","9"
"1500000US550250012001","Block Group 1, Census Tract 12, Dane County, Wisconsin","847","213","224","123","5","10","12","19","20","24","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","91","97","96","64","623","214"
"1500000US550250012002","Block Group 2, Census Tract 12, Dane County, Wisconsin","1335","506","558","396","8","13","0","9","0","9","15","23","10","16","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","327","335","198","148","777","237"
"1500000US550250012003","Block Group 3, Census Tract 12, Dane County, Wisconsin","2238","545","1276","501","0","9","19","23","0","9","10","17","20","24","0","9","10","17","31","26","0","9","62","46","49","48","0","9","23","27","64","91","850","487","138","90","962","232"
"1500000US550250012004","Block Group 4, Census Tract 12, Dane County, Wisconsin","2055","379","1105","347","11","18","5","10","12","21","0","9","5","10","0","9","12","20","0","9","0","9","0","9","5","10","0","9","0","9","0","9","689","331","366","163","950","186"
