"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"140","Vilas Neighborhood Association","No","195.4","724","48.3","1881","3.2","13.4","6.6","90.8","1","3.5","2","2.8","705","321","20.1","2","784","0","7","1921","7","575405","245.9",""N/A"",""N/A"","359542.3","223.8","6","34","26","48",77,85,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",5,169,82,""N/A"",""N/A"",""N/A"","P,B,G","87.7","1244",""N/A"","6.5"
"99","Mayfair Park Neighborhood Association","No","355.4","252","53.8","593","7.8","22.3","9.4","64.9","8.1","4.1","3.9","19","245","135","24.9","7.3","290","48","0","1961","8","181693","132.2","71314.3","64.1","172696.8","133.4","10","189","125","121",241,158,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",4,265,121,""N/A"",""N/A"",""N/A"","P,B,G","41.4","1505",""N/A"","6.2"
"357","Secret Places Neighborhood Association","No","147.6","174","78.8","473","15","33.5","2.3","84.1","2.3","5.6","3.6","4.4","165","138","55.4","6.9","480","0","0","2012","1","378050","192.6","284446.9","159.3","330190.1","154.1","0","6","1","0",12,5,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",1,8,6,""N/A"",""N/A"",""N/A"","None","0","0",""N/A"","7.8"
"182","Schenk-Atwood-Starkweather-Yahara Neighborhood Association","No","571.3","3117","51.4","5773","4.9","15.6","6.2","88","3.7","1.6","2.9","3.8","2996","1189","17.7","4.3","3622","194","0","1927","84","292272","216","189538.3","186.7","230125.3","191.7","22","205","186","195",666,297,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",9,353,208,""N/A"",""N/A"",""N/A"","P,B,G","99.8","3266",""N/A"","6.1"
"125","Blackhawk Homeowners Association","No","300.5","961","51.3","2168","6.6","29.3","5.3","83.4","1.5","10.5","2.6","2","879","551","37.4","5.1","1009","0","0","2001","2","606823","146.1","355853.8","197.8","682525.7","148.4","0","27","1","12",181,98,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,88,0,""N/A"",""N/A"",""N/A"","None","0","0",""N/A"","6.7"
"102","Sheridan Triangle Neighborhood Association","No","36.7","192","83.4","340","4.2","14.5","17.3","91.9","3.3","0.8","2.3","1.6","180","83","17","1.9","179","0","0","1947","7","198365","154.4",""N/A"",""N/A"","183752.2","160.6","0","7","1","4",27,9,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","B,G","100","258",""N/A"","4.6"
"359","Madison West Neighborhood Association","No","2706.8","5747","49.4","11657","7.6","21","5.1","72.7","5.8","12.4","2.6","6.4","5352","2643","24.7","4.4","7212","120","0","2001","62","342763","141","199767","153.5","441908.8","148.4","39","279","213","195",773,440,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",18,1076,560,""N/A"",""N/A"",""N/A"","P,B,G","64.7","954",""N/A"","6.9"
"165","Maple-Prairie Neighborhood Association","No","179.6","765","52.5","1732","6","21.7","3.5","79.6","5.1","6.1","3.1","6.1","743","418","26.9","5.2","833","2","0","1993","14","289762","129.3","208655","132.1","259442.9","135.9","5","12","5","17",54,20,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",14,236,119,""N/A"",""N/A"",""N/A"","P,B,G","53.7","150",""N/A"","6.3"
"132","East Buckeye Neighborhood Association","No","352.8","766","90.3","2043","5.8","23","5.8","85.2","4.7","2.9","2","5.1","747","600","32.9","4.8","787","2","0","1986","10","244145","133.7","286618.8","176.8","231496.8","135.9","1","24","10","18",238,42,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,208,39,""N/A"",""N/A"",""N/A"","None","96.2","241",""N/A"","6.5"
"90","Bluff Acres Neighborhood Association","No","441.8","1849","38.5","3725","7.2","18.3","7.7","67.6","9.5","6.5","3.5","12.9","1748","876","20.1","5.3","1931","9","0","1980","25","225482","124.6","86576.8","97.9","216486.9","120.7","39","115","197","71",422,147,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",6,40,26,""N/A"",""N/A"",""N/A"","P,B,G","86.8","511",""N/A"","6.7"
